leadership,creativity,communication,problem_solving,analytical,teamwork,python,javascript,sql,statistics,machine_learning,data_visualization,html_css,react,backend_apis,databases,cloud,networking_security,linux_devops,mobile_dev,ui_ux_design,career
0.2,0.1111111111111111,0.7777777777777778,0.5555555555555556,0.7434845665150037,0.5555555555555556,1.0,0.7777777777777778,0.3333333333333333,0.92,0.88,0.8,0.5555555555555556,0.6888888888888889,0.2222222222222222,0.3333333333333333,0.52,0.7777777777777778,0.5,0.8888888888888888,0.3333333333333333,Data Scientist
1.0,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.536745678695662,0.1111111111111111,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.1,0.1,0.1,0.7777777777777778,0.8444444444444444,0.6666666666666666,0.2222222222222222,0.1,1.0,0.8333333333333334,0.3333333333333333,0.5555555555555556,Frontend Developer
0.2,0.1111111111111111,0.1111111111111111,0.0,0.7434845665150037,0.5555555555555556,1.0,0.4444444444444444,0.5555555555555556,0.92,0.88,0.8,1.0,0.6666666666666666,0.0,0.5555555555555556,0.52,0.5555555555555556,0.2777777777777778,0.8888888888888888,0.5555555555555556,Data Scientist
1.0,0.1111111111111111,0.0,0.7777777777777778,1.0,0.6666666666666666,0.75,0.0,0.4444444444444444,0.82,0.94,0.1,0.8888888888888888,0.35555555555555557,0.6666666666666666,0.4444444444444444,0.68,0.5555555555555556,0.6111111111111112,0.4444444444444444,0.5,Machine Learning Engineer
1.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.99374620544071,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.1,0.1,0.1,0.1111111111111111,0.37777777777777777,0.3333333333333333,0.4444444444444444,0.94,0.2222222222222222,0.75,1.0,0.2777777777777778,Cloud / DevOps Engineer
0.2,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.99374620544071,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.75,0.8,0.1,0.92,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.0,0.1,0.3333333333333333,0.5,0.0,0.5555555555555556,Data Analyst
1.0,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.99374620544071,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1,0.1,0.1,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.94,0.8888888888888888,0.75,0.5555555555555556,0.2222222222222222,Cloud / DevOps Engineer
0.2,0.6666666666666666,0.5555555555555556,0.7777777777777778,1.0,0.7777777777777778,0.0,0.5555555555555556,0.5555555555555556,0.1,0.1,0.1,0.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.1,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,Mobile App Developer
0.2,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.536745678695662,1.0,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.1,0.1,0.1,0.2222222222222222,0.4888888888888888,0.2222222222222222,0.6666666666666666,0.6,1.0,0.6111111111111112,0.0,0.3333333333333333,Cybersecurity Analyst
0.2,0.0,0.6666666666666666,0.4444444444444444,1.0,1.0,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.1,0.1,0.1,0.6666666666666666,0.33333333333333337,1.0,0.7777777777777778,0.94,0.2222222222222222,0.75,1.0,0.3333333333333333,Cloud / DevOps Engineer
